NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,ADDRESS,APARTMENT_NUMBER,ZIP_CODE,GROSS_SQUARE_FEET,YEAR_BUILT,SALE_PRICE,SALE_DATE
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"181 HUDSON STREET, 6D",6D,10013.0,1840.0,1909.0,2800000,2019-01-03
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"10 LITTLE WEST STREET, 19A",19A,10004.0,1759.0,0.0,2650000,2019-01-07
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"30 LITTLE WEST STREET, 7G",7G,10004.0,1190.0,2005.0,1005000,2019-01-09
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"2 RIVER TERRACE, 4C",4C,0.0,1088.0,2006.0,1678000,2019-01-10
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"380 RECTOR PLACE, 10A",10A,10280.0,873.0,0.0,1380000,2019-01-11
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 37W",37W,10007.0,2279.0,2016.0,6924100,2019-01-14
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"300 ALBANY STREET, 9M",9M,10280.0,695.0,1986.0,501000,2019-01-15
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"1 RIVER TERRACE, 9M",9M,0.0,1449.0,2006.0,2400000,2019-01-15
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 43W",43W,10007.0,2279.0,2016.0,9316988,2019-01-15
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"443 GREENWICH STREET, 3C",3C,10013.0,3227.0,1905.0,10200000,2019-01-15
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"140 WEST STREET, 11K",11K,10007.0,2249.0,1930.0,4100000,2019-01-16
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"7 HUBERT STREET, M9C",M9C,10013.0,4663.0,2004.0,7200000,2019-01-18
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"412 GREENWICH STREET, PHC",PHC,10013.0,4986.0,1915.0,13240000,2019-01-18
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"195 HUDSON STREET, 2C",2C,10013.0,2436.0,0.0,4900000,2019-01-18
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"101 WARREN STREET, 1550",1550,10007.0,1920.0,2006.0,3870000,2019-01-23
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"295 GREENWICH STREET, 8J-N",8JN,10007.0,432.0,1987.0,640000,2019-01-24
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"140 WEST STREET, 11Q",11Q,10007.0,2063.0,1930.0,4750000,2019-01-25
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 46W",46W,10007.0,3208.0,2016.0,11648526,2019-01-25
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"275 GREENWICH STREET, 6LS",6LS,10007.0,868.0,1987.0,1090000,2019-01-29
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 34W",34W,10007.0,2279.0,2016.0,4400000,2019-01-29
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 44W",44W,10007.0,2289.0,2016.0,8909688,2019-01-30
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 47W",47W,10007.0,3217.0,2016.0,12376829,2019-01-30
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"415 WASHINGTON STREET, THB",1B,10013.0,3500.0,2010.0,8000000,2019-01-30
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"275 GREENWICH STREET, 4BS",4BS,10007.0,748.0,1987.0,999500,2019-01-31
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"412 GREENWICH STREET, 2F",2F,10013.0,2409.0,1915.0,5350000,2019-01-31
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"30 LITTLE WEST STREET, 7G",7G,10004.0,1190.0,2005.0,1250000,2019-02-01
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"212 WARREN STREET, 7N",7N,10282.0,1061.0,2000.0,1770000,2019-02-01
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"333 RECTOR PLACE, 511",511,10280.0,860.0,1985.0,905000,2019-02-01
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"443 GREENWICH STREET, 1G",1G,10013.0,2811.0,1905.0,6053000,2019-02-01
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"101 WARREN STREET, 11J",11J,10007.0,1650.0,2006.0,3250000,2019-02-05
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 44B",44B,10007.0,1666.0,2016.0,5150000,2019-02-05
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"7 HUBERT STREET, 6B",6B,10013.0,4016.0,2004.0,12750000,2019-02-05
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 41W",41W,10007.0,2279.0,2016.0,9164250,2019-02-07
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"11 BEACH STREET, 3A",3A,10013.0,3844.0,1900.0,6761138,2019-02-07
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"250 WEST STREET, 4G",4G,10013.0,1973.0,1906.0,4050000,2019-02-07
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"280 RECTOR PLACE, 8I",8I,10280.0,625.0,0.0,1360000,2019-02-08
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"2 RIVER TERRACE, 15A",15A,10282.0,1524.0,2006.0,2495000,2019-02-08
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"200 RECTOR PLACE, 4Y",4Y,10280.0,1054.0,1987.0,1175000,2019-02-08
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"30 LITTLE WEST STREET, 20E",20E,10004.0,1526.0,2005.0,2250000,2019-02-11
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"30 LITTLE WEST STREET, 33D",33D,10004.0,875.0,2005.0,1350000,2019-02-11
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"415 GREENWICH ST, 5D",5D,10013.0,1850.0,1913.0,3145000,2019-02-12
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"67 HUDSON STREET, 2B",2B,10013.0,1144.0,1915.0,1658000,2019-02-15
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"48 BEACH STREET, 2A",2A,10013.0,2292.0,1930.0,3836438,2019-02-21
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 33W",33W,10007.0,2279.0,2016.0,6720000,2019-02-26
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"443 GREENWICH ST, PHF",PHF,10013.0,2964.0,1905.0,15000000,2019-02-26
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"377 RECTOR PLACE, 6KL",6K,10280.0,688.0,0.0,1651544,2019-02-27
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"212 WARREN STREET, 4C",4C,10282.0,1661.0,2000.0,3300000,2019-02-28
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"140 WEST STREET, 15A",15A,10007.0,2663.0,1930.0,5270000,2019-02-28
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"303 GREENWICH STREET, 5F",5F,10013.0,634.0,0.0,858000,2019-02-28
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"350 ALBANY STREET, M3",M3,10280.0,756.0,0.0,685000,2019-03-04
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"300 ALBANY STREET, 4F",4F,10280.0,530.0,1986.0,490000,2019-03-05
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"212 WARREN STREET, 9N",9N,10282.0,1061.0,2000.0,1754000,2019-03-05
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"300 ALBANY STREET, 7M",7M,10280.0,695.0,1986.0,475000,2019-03-06
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 28W",28W,10007.0,2685.0,2016.0,7722000,2019-03-11
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 49W",49W,10007.0,3243.0,2016.0,12142631,2019-03-11
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"275 GREENWICH STREET, 6D-S",6DS,10007.0,2342.0,1987.0,3700000,2019-03-13
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"212 WARREN STREET, 20G",20G,10282.0,2481.0,2000.0,4800000,2019-03-14
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"295 GREENWICH STREET, 7O-N",7ON,10007.0,440.0,1987.0,630000,2019-03-14
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"70 LITTLE WEST STREET, 14B",14B,10004.0,1311.0,2006.0,2050000,2019-03-15
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"280 RECTOR PLACE, 9F",9F,10280.0,915.0,0.0,424770,2019-03-15
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"300 ALBANY STREET, 3N",3N,10280.0,647.0,1986.0,496860,2019-03-18
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"200 RECTOR PLACE, 31B",31B,10280.0,948.0,1987.0,1275000,2019-03-20
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"300 RECTOR PLACE, 8R",8R,10280.0,565.0,0.0,520000,2019-03-25
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 17A",17A,10007.0,1593.0,2016.0,3920263,2019-03-25
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"27 NORTH MOORE, 4C",4C,10013.0,2300.0,0.0,4500000,2019-03-25
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"140 WEST STREET, 12F",12F,10007.0,2028.0,1930.0,3550000,2019-04-01
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"380 RECTOR PLACE, 23J",23J,10280.0,1014.0,0.0,1320000,2019-04-02
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"2 SOUTH END AVENUE, 9J",9J,10280.0,1359.0,1990.0,1404586,2019-04-04
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 50W",50W,10007.0,3260.0,2016.0,12200000,2019-04-05
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"250 SOUTH END AVENUE, 4B",4B,10280.0,830.0,1985.0,785000,2019-04-08
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"200 RECTOR PLACE, 10B",10B,10280.0,951.0,1987.0,1175000,2019-04-08
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"295 GREENWICH STREET, 8EN",8EN,10007.0,652.0,1987.0,982500,2019-04-08
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"28 LAIGHT STREET, 1C",1C,10013.0,3428.0,0.0,3850000,2019-04-08
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"166 DUANE STREET, 4C",4C,10013.0,2311.0,0.0,3400000,2019-04-10
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"350 ALBANY STREET, 7C",7C,10280.0,704.0,0.0,710000,2019-04-11
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"1 RIVER TERRACE, 6N",6N,0.0,1580.0,2006.0,2700000,2019-04-11
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"401 WASHINGTON STREET, 4A",4A,10013.0,2042.0,1915.0,4100000,2019-04-11
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"311 GREENWICH STREET, 4G",4G,10013.0,638.0,0.0,895000,2019-04-12
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"2 RIVER TERRACE, 10T",10T,0.0,1816.0,2006.0,3635000,2019-04-15
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"212 WARREN STREET, 26G",26G,10282.0,2481.0,2000.0,4800000,2019-04-18
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"111 MURRAY STREET, 45W",45W,10007.0,3201.0,2016.0,12040000,2019-04-18
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"380 RECTOR PLACE, 20H",20H,10280.0,1096.0,1985.0,1550000,2019-04-19
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"92 LAIGHT STREET, 4A",4A,10013.0,2221.0,2004.0,4600000,2019-04-22
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"380 RECTOR PLACE, 6E",6E,10280.0,661.0,0.0,750000,2019-04-23
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"377 RECTOR PLACE, 25E",25E,10280.0,814.0,0.0,1150403,2019-04-24
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"443 GREENWICH STREET, 1F",1F,10013.0,2429.0,1905.0,5761259,2019-04-24
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"70 LITTLE WEST STREET, 11K",11K,10004.0,1601.0,2006.0,2600000,2019-04-29
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"2 SOUTH END AVENUE, 5G",5G,10280.0,634.0,1990.0,605000,2019-04-29
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"2 SOUTH END AVENUE, 8B",8B,10280.0,939.0,1990.0,960000,2019-04-30
TRIBECA,13 CONDOS - ELEVATOR APARTMENTS,"311 GREENWICH ST, 8B",8B,10013.0,695.0,0.0,975000,2019-04-30
