id,member_id,loan_amnt,funded_amnt,term,int_rate,exp_default_rate,service_fee_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,accept_d,exp_d,list_d,credit_pull_d,review_status_d,review_status,url,desc,purpose,title,zip_code,addr_state,msa,acc_now_delinq,acc_open_past_24mths,bc_open_to_buy,percent_bc_gt_75,bc_util,dti,delinq_2yrs,delinq_amnt,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,mths_since_recent_inq,mths_since_recent_revol_delinq,mths_since_recent_bc,mort_acc,open_acc,pub_rec,total_bal_ex_mort,revol_bal,revol_util,total_bc_limit,total_acc,total_il_high_credit_limit,num_rev_accts,mths_since_recent_bc_dlq,initial_list_status,ils_exp_d,pub_rec_bankruptcies,num_accts_ever_120_pd,chargeoff_within_12_mths,collections_12_mths_ex_med,tax_liens,mths_since_last_major_derog,num_sats,num_tl_op_past_12m,mo_sin_rcnt_tl,tot_hi_cred_lim,tot_cur_bal,avg_cur_bal,num_bc_tl,num_actv_bc_tl,num_bc_sats,pct_tl_nvr_dlq,num_tl_90g_dpd_24m,num_tl_30dpd,num_tl_120dpd_2m,num_il_tl,mo_sin_old_il_acct,num_actv_rev_tl,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,total_rev_hi_lim,num_rev_tl_bal_gt_0,num_op_rev_tl,tot_coll_amt,effective_int_rate,application_type,disbursement_method,annual_inc_joint,dti_joint,verified_status_joint,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,inq_fi,total_cu_tl,inq_last_12m,mtg_payment,housing_payment,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog
"152167636","186565679","22000.0","19675.0","60","11.71","5.49","0.73","486.16","B","B3","","< 1 year","MORTGAGE","60000.0","Not Verified","05-24-2019 06:08:38","07-07-2019 14:00:00","06-07-2019 14:00:00","05-21-2019 09:55:17","06-07-2019 10:00:50","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=152167636"," ","Credit card refinancing","Credit card refinancing","751xx","TX","","0","2","13573","40.0","58.2","14.65","0","0.0","12-20-1999 16:00:00","665","669","1","52"," ","3"," ","2","5","9","0","21005","21005.0","54.6","32500","26","0","15"," ","f","","0","0","0","0","0","null","9","2","2","103750","75437","8382","8","4","5","96","0","0","0","6","154","5","226","2","38500","5","8","989","11.60","INDIVIDUAL","DIRECT_PAY"," "," "," ","2","0","0","0","73","0.0"," ","2","2","9285.0","54.6","0","3","2","736"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"153003150","188095322","28000.0","26725.0","36","8.19","2.16","0.86","879.88","A","A4","","< 1 year","RENT","80000.0","Not Verified","06-06-2019 21:39:53","07-07-2019 18:00:00","06-07-2019 18:00:00","06-04-2019 20:38:53","06-07-2019 13:56:56","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=153003150"," ","Debt consolidation","Debt consolidation","921xx","CA","","0","1","13197","75.0","71.0","32.19","0","0.0","09-04-2005 17:00:00","715","719","0"," "," ","16"," ","40","0","14","0","135969","32303.0","71.0","45500","33","140166","12"," ","f","","0","0","0","0","0","null","14","0","16","185666","135969","9712","12","7","8","100","0","0","0","21","156","7","165","40","45500","7","8","0","8.18","INDIVIDUAL","CASH"," "," "," ","0","6","0","1","16","103666.0","58.7","0","0","7843.0","63.0","1","2","0","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"152654206","187356227","27000.0","22500.0","36","10.33","5.15","1.01","875.41","B","B1","Logistics Manager","1 year","RENT","72000.0","Source Verified","06-05-2019 07:21:02","07-06-2019 10:00:00","06-06-2019 10:00:00","05-30-2019 04:47:10","06-06-2019 06:02:41","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=152654206"," ","Credit card refinancing","Credit card refinancing","480xx","MI","","0","4","5880","40.0","75.0","21.38","0","0.0","02-27-2007 16:00:00","675","679","0","25","74","8"," ","22","0","10","1","35499","22028.0","54.9","23500","19","24193","10"," ","f","","1","1","0","1","0","25","10","2","4","64293","35499","3550","5","3","5","94","0","0","0","9","110","4","147","4","40100","4","8","151","10.22","INDIVIDUAL","DIRECT_PAY"," "," "," ","1","2","1","2","7","13471.0","55.7","1","2","11381.0","55.2","1","1","2","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"152209289","186627083","40000.0","15725.0","36","25.00","12.86","1.42","1590.4","D","D4","","3 years","MORTGAGE","9500.0","Verified","05-27-2019 08:52:04","07-08-2019 14:00:00","06-08-2019 14:00:00","05-21-2019 15:03:03","06-08-2019 09:57:43","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=152209289"," ","Debt consolidation","Debt consolidation","421xx","KY","","0","2","922","100.0","92.6","175.22","0","0.0","11-20-2005 16:00:00","670","674","3"," "," ","0"," ","21","0","9","0","70885","22427.0","85.0","12500","24","52852","11"," ","f","","0","0","0","0","0","null","9","1","9","79252","70885","7876","3","3","3","100","0","0","0","13","156","7","162","21","26400","7","7","0","24.20","JOINT","CASH","109500.0","28.66","Verified","0","2","1","1","9","48458.0","91.7","0","1","6203.0","89.4","6","0","12","867.79"," ","60345","655","659","11-20-2005 16:00:00","4","3","16","78.0","3","15","0","0"," "
"151779963","185691648","32000.0","20100.0","60","12.40","5.49","0.73","718.31","B","B4","Correction officer ","10+ years","RENT","65000.0","Source Verified","06-03-2019 10:54:50","07-13-2019 10:00:00","06-13-2019 10:00:00","05-14-2019 13:50:30","06-13-2019 06:01:31","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=151779963"," ","Credit card refinancing","Credit card refinancing","112xx","NY","","0","7","13541","0.0","16.9","6.09","0","0.0","02-13-2015 16:00:00","715","719","0","40"," ","17","40","9","0","8","0","11717","3176.0","17.1","16300","8","10000","7"," ","f","","0","0","0","0","0","null","8","4","8","28600","11717","1465","4","2","4","87","0","0","0","1","8","4","51","8","18600","4","7","0","12.29","INDIVIDUAL","CASH"," "," "," ","0","1","1","1","8","8541.0","85.4","3","6","1400.0","41.0","0","2","0","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"152935444","187943308","20200.0","14675.0","36","20.00","12.86","1.42","750.71","D","D2","Checker","10+ years","RENT","40000.0","Not Verified","06-06-2019 14:29:25","07-06-2019 18:00:00","06-06-2019 18:00:00","06-03-2019 19:37:06","06-06-2019 14:32:10","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=152935444"," ","Debt consolidation","Debt consolidation","995xx","AK","","0","3","5011","0.0","22.9","15.27","0","0.0","12-03-2008 16:00:00","675","679","1","40","82","6","40","41","0","8","1","16184","1732.0","12.4","6500","18","15000","11"," ","f","","1","0","0","0","0","null","8","1","6","29000","16184","2023","2","2","2","93","0","0","0","7","126","4","121","15","14000","4","7","2501","19.20","JOINT","CASH","85700.0","24.21","Not Verified","1","1","1","2","6","14452.0","96.3","0","1","1239.0","55.8","1","0","1","0"," ","32892","655","659","07-03-2006 17:00:00","0","0","4","101.7","3","4","0","0"," "
"153005669","188109870","30000.0","19075.0","60","10.33","5.49","0.73","642.3","B","B1","Design and Construction Manager ","2 years","MORTGAGE","110000.0","Verified","06-05-2019 08:54:51","07-05-2019 18:00:00","06-05-2019 18:00:00","06-05-2019 04:32:21","06-05-2019 13:53:20","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=153005669"," ","Debt consolidation","Debt consolidation","554xx","MN","","0","1","15217","42.9","54.0","9.24","1","0.0","04-04-2007 17:00:00","680","684","0","22"," ","7"," ","36","4","15","0","49223","18534.0","43.2","33100","26","24877","15"," ","f","","0","0","0","0","0","null","15","1","7","363686","324319","24948","10","7","9","96","0","0","0","7","146","9","79","7","42900","9","12","0","10.22","INDIVIDUAL","DIRECT_PAY"," "," "," ","0","2","0","0","38","30689.0","123.4","1","1","6378.0","72.6","0","0","1","2189"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"153123905","188250724","40000.0","31975.0","36","8.81","2.16","0.86","1268.46","A","A5","Director of Provider Contracting","2 years","RENT","119025.0","Source Verified","06-06-2019 18:41:59","07-07-2019 06:00:00","06-07-2019 06:00:00","06-06-2019 18:33:29","06-06-2019 18:43:19","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=153123905"," ","Credit card refinancing","Credit card refinancing","910xx","CA","","0","1","3548","85.7","91.2","18.49","0","0.0","02-06-1996 16:00:00","680","684","0"," "," "," "," ","27","0","16","0","63885","45611.0","56.8","40500","34","20034","24"," ","f","","0","0","0","0","0","null","16","1","9","100334","63885","4259","10","6","8","100","0","0","0","10","143","9","280","27","80300","9","15","0","8.80","INDIVIDUAL","CASH"," "," "," ","0","1","1","1","9","18274.0","91.2","0","0","9994.0","63.7","0","0","0","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"152995611","188033797","40000.0","25775.0","36","16.40","7.19","1.15","1414.2","C","C4","","< 1 year","RENT","110000.0","Source Verified","06-04-2019 18:36:17","07-05-2019 14:00:00","06-05-2019 14:00:00","06-04-2019 18:32:17","06-05-2019 09:52:33","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=152995611"," ","Credit card refinancing","Credit card refinancing","891xx","NV","","0","6","13820","40.0","68.9","21.4","0","0.0","03-04-1985 16:00:00","675","679","1","44"," ","4"," ","8","0","9","0","67208","30580.0","54.8","44400","18","0","13"," ","f","","0","0","0","0","0","59","9","3","1","107028","67208","7468","9","4","5","94","0","0","0","3","100","4","411","1","55800","4","8","0","16.16","JOINT","DIRECT_PAY","270000.0","15.71","Not Verified","2","0","0","0","95","0.0"," ","3","6","18276.0","54.8","3","0","3","0"," ","119654","630","634","02-04-1989 16:00:00","0","0","3","62.3","0","5","0","0","71"
"152953172","187962155","40000.0","25450.0","36","22.50","12.86","1.42","1537.99","D","D3","Manager","10+ years","MORTGAGE","72000.0","Source Verified","06-04-2019 08:13:18","07-07-2019 10:00:00","06-07-2019 10:00:00","06-04-2019 07:35:39","06-07-2019 07:19:12","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=152953172"," ","Debt consolidation","Debt consolidation","927xx","CA","","0","3","2930","66.7","78.9","6.43","0","0.0","04-03-2015 17:00:00","660","664","0"," ","117","4"," ","13","0","6","1","11320","11320.0","67.0","13900","7","0","7"," ","f","","1","0","0","0","0","null","6","0","13","16900","11320","1887","4","2","3","100","0","0","0","0"," ","4","50","13","16900","4","6","0","21.70","JOINT","CASH","117000.0","6.49","Source Verified","0","0","0","0"," ","0.0"," ","0","3","9412.0","67.0","0","0","4","0"," ","19199","650","654","04-03-2007 17:00:00","0","0","2","68.5","0","2","0","0"," "
"152759870","187650908","26000.0","14425.0","36","20.00","12.86","1.42","966.26","D","D2","Building Engineer","2 years","RENT","93000.0","Not Verified","06-05-2019 21:07:59","07-06-2019 06:00:00","06-06-2019 06:00:00","05-31-2019 16:21:24","06-05-2019 21:22:02","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=152759870"," ","Medical expenses","Medical expenses","606xx","IL","","0","6","4846","25.0","66.6","22.94","0","0.0","06-29-2005 17:00:00","680","684","0"," ","63","8"," ","7","0","12","1","71431","17248.0","52.7","14500","14","63658","9"," ","f","","1","0","0","0","0","null","12","2","7","96358","71431","6494","5","3","5","100","0","0","0","5","143","6","167","7","32700","6","9","0","19.20","INDIVIDUAL","CASH"," "," "," ","0","3","1","3","8","54183.0","85.1","1","3","4912.0","74.1","3","0","1","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"152966674","187986736","33325.0","16700.0","36","7.56","2.02","0.84","1037.54","A","A3","Executive Director","3 years","RENT","210000.0","Verified","06-04-2019 11:43:27","07-05-2019 10:00:00","06-05-2019 10:00:00","06-04-2019 11:36:16","06-05-2019 06:00:59","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=152966674"," ","Moving and relocation","Moving and relocation","900xx","CA","","0","2","29046","62.5","67.2","38.65","0","0.0","06-03-2004 17:00:00","685","689","0","42"," "," ","42","24","2","16","0","196983","96854.0","65.6","125900","22","138660","11"," ","f","","0","0","0","0","0","null","16","1","8","329353","196983","13132","8","8","8","95","0","0","0","8","180","8","167","24","128200","8","10","72","7.56","JOINT","CASH","440000.0","26.28","Source Verified","0","5","1","1","8","37893.0","35.5","0","1","35730.0","51.2","0","0","0","0"," ","233403","695","699","04-03-1991 16:00:00","0","2","16","63.5","7","11","0","0"," "
"153001069","188103316","35000.0","20000.0","60","15.57","7.33","0.83","843.16","C","C3","Operations Manager","5 years","MORTGAGE","141000.0","Source Verified","06-05-2019 12:39:29","07-06-2019 10:00:00","06-06-2019 10:00:00","06-05-2019 05:24:36","06-06-2019 05:57:34","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=153001069"," ","Other","Other","284xx","NC","","0","8","10685","0.0","14.5","3.17","0","0.0","12-04-2007 16:00:00","675","679","1","45"," ","5"," ","7","1","5","0","14020","8013.0","40.1","12500","17","0","5"," ","f","","0","2","0","0","0","45","5","3","5","258613","241697","48339","4","2","2","86","0","0","0","10","138","3","94","7","20000","3","3","0","15.33","INDIVIDUAL","CASH"," "," "," ","1","0","1","3","5","0.0"," ","1","3","1389.0","50.8","1","0","6","1186.75"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"153094277","188209173","35000.0","21350.0","60","16.40","7.33","0.83","858.59","C","C4","patient transition liaison","5 years","RENT","84000.0","Not Verified","06-06-2019 08:46:22","07-06-2019 18:00:00","06-06-2019 18:00:00","06-06-2019 08:40:16","06-06-2019 13:53:28","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=153094277"," ","Debt consolidation","Debt consolidation","212xx","MD","","0","4","29061","78.6","60.9","25.24","0","0.0","01-05-1995 16:00:00","660","664","0"," "," ","8"," ","4","0","26","0","58568","58568.0","57.4","74400","37","0","34"," ","f","","0","0","0","0","0","null","26","3","4","102100","58568","2253","17","12","14","100","0","0","0","3","143","19","293","4","102100","19","26","589","16.16","INDIVIDUAL","DIRECT_PAY"," "," "," ","1","0","0","0","76","0.0"," ","3","4","7467.0","57.4","0","0","3","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"153119250","188234967","40000.0","25050.0","36","11.02","5.15","1.01","1309.93","B","B2","","< 1 year","MORTGAGE","300000.0","Verified","06-06-2019 12:48:25","07-06-2019 18:00:00","06-06-2019 18:00:00","06-06-2019 12:47:16","06-06-2019 13:54:39","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=153119250"," ","Debt consolidation","Debt consolidation","995xx","AK","","0","2","35124","57.1","51.4","18.26","8","0.0","09-05-2004 17:00:00","705","709","0","12"," ","21","16","22","4","14","0","90766","37076.0","51.4","72200","35","168176","16","16","f","","0","0","0","0","0","16","14","0","22","496876","130759","9340","16","6","7","77","2","0","0","15","177","6","150","22","72200","6","7","0","10.91","INDIVIDUAL","CASH"," "," "," ","0","6","0","1","22","53690.0","30.9","0","1","12090.0","41.3","1","2","0","2945"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"153408047","188559185","5000.0","3525.0","36","22.50","12.63","1.49","192.25","D","D3","","< 1 year","RENT","49000.0","Not Verified","06-12-2019 08:03:59","07-16-2019 14:00:00","06-16-2019 14:00:00","06-12-2019 08:01:24","06-16-2019 10:26:10","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=153408047"," ","Debt consolidation","Debt consolidation","339xx","FL","","0","7","1005","83.3","92.2","23.32","0","0.0","10-11-1986 17:00:00","680","684","1","53"," ","6"," ","10","3","10","0","33211","12899.0","92.8","12900","28","25232","13"," ","f","","0","1","0","0","0","59","10","4","6","39132","33211","3321","10","6","6","92","0","0","0","12","60","7","392","10","13900","7","7","0","21.73","INDIVIDUAL","CASH"," "," "," ","1","3","3","5","6","20312.0","80.5","1","2","7863.0","84.9","5","0","4","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"152996994","188096217","40000.0","12775.0","60","8.19","2.22","0.60","814.7","A","A4","Supervisory Investigator","2 years","MORTGAGE","72000.0","Not Verified","06-04-2019 21:51:28","07-06-2019 10:00:00","06-06-2019 10:00:00","06-04-2019 20:17:47","06-06-2019 06:18:47","Approved","https://lendingclub.com/browse/loanDetail.action?loan_id=152996994"," ","Debt consolidation","Debt consolidation","808xx","CO","","0","6","49728","8.3","28.4","58.5","0","0.0","11-04-1999 16:00:00","720","724","1"," "," ","1"," ","8","3","26","0","201773","41214.0","39.2","69500","53","198032","33"," ","f","","0","0","0","0","0","null","26","2","6","303132","201773","7761","19","6","12","100","0","0","0","17","165","9","235","8","105100","9","20","0","8.22","JOINT","DIRECT_PAY","157000.0","29.89","Not Verified","1","6","1","3","6","160559.0","89.0","1","2","6208.0","58.1","3","4","7","0"," ","81621","690","694","11-04-1999 16:00:00","1","2","21","59.7","7","20","0","0"," "
